#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#
#wave    flux         stdev           det
 47.3940  1.12815e-17  1.18438e-19      0
 47.4617  1.12433e-17  1.12780e-19      0
 47.4617  1.14063e-17  6.34076e-20      0
 47.5294  1.12698e-17  1.17533e-19      0
 47.5294  1.15952e-17  8.64426e-20      0
 47.5971  1.14318e-17  1.42409e-19      0
 47.5971  1.15221e-17  9.28408e-20      0
 47.6647  1.12292e-17  9.82410e-20      0
 47.6647  1.15923e-17  9.63882e-20      0
 47.7324  1.13399e-17  9.79755e-20      0
 47.7324  1.17604e-17  9.15298e-20      0
 47.7933  1.15022e-17  7.18875e-20      0
 47.7934  1.13707e-17  1.24332e-19      0
 47.8609  1.14167e-17  1.07660e-19      0
 47.8609  1.15238e-17  7.91681e-20      0
 47.9285  1.14517e-17  8.84451e-20      0
 47.9285  1.16086e-17  1.08102e-19      0
 47.9961  1.15484e-17  1.01720e-19      0
 47.9961  1.15833e-17  9.36217e-20      0
 48.0636  1.18309e-17  1.63297e-19      0
 48.0636  1.18221e-17  1.18590e-19      0
 48.1312  1.14621e-17  1.01008e-19      0
 48.1312  1.17246e-17  7.32886e-20      0
 48.1988  1.16145e-17  8.94274e-20      0
 48.1988  1.18632e-17  1.60744e-19      0
 48.2663  1.15936e-17  7.51880e-20      0
 48.2663  1.17353e-17  1.50855e-19      0
 48.3338  1.17949e-17  9.43713e-20      0
 48.3338  1.17369e-17  1.40808e-19      0
 48.4013  1.17008e-17  1.09990e-19      0
 48.4013  1.17144e-17  1.20700e-19      0
 48.4688  1.15162e-17  7.64214e-20      0
 48.4688  1.17187e-17  1.64376e-19      0
 48.5363  1.16371e-17  1.04402e-19      0
 48.5363  1.18018e-17  1.37618e-19      0
 48.6038  1.17775e-17  1.44169e-19      0
 48.6038  1.17918e-17  1.10495e-19      0
 48.6712  1.17292e-17  1.23709e-19      0
 48.6712  1.18551e-17  1.32994e-19      0
 48.7321  1.15696e-17  1.11901e-19      0
 48.7321  1.16925e-17  1.10218e-19      0
 48.7995  1.16146e-17  1.05738e-19      0
 48.7995  1.16068e-17  1.15093e-19      0
 48.8670  1.15882e-17  1.31534e-19      0
 48.8670  1.14771e-17  1.13738e-19      0
 48.9344  1.16601e-17  1.23594e-19      0
 48.9344  1.14807e-17  1.17190e-19      0
 49.0019  1.15967e-17  1.10535e-19      0
 49.0019  1.15466e-17  1.28549e-19      0
 49.0694  1.13842e-17  1.07076e-19      0
 49.0694  1.15331e-17  1.61262e-19      0
 49.1368  1.15376e-17  1.59842e-19      0
 49.1368  1.15008e-17  1.23463e-19      0
 49.2043  1.14416e-17  9.86895e-20      0
 49.2043  1.12519e-17  1.18780e-19      0
 49.2718  1.14304e-17  1.28545e-19      0
 49.2718  1.14405e-17  1.07762e-19      0
 49.3392  1.13213e-17  1.13403e-19      0
 49.3392  1.14204e-17  9.14036e-20      0
 49.4067  1.14092e-17  8.29890e-20      0
 49.4067  1.13902e-17  1.35942e-19      0
 49.4741  1.13564e-17  9.60652e-20      0
 49.4742  1.12826e-17  1.21515e-19      0
 49.5416  1.13350e-17  1.00417e-19      0
 49.5416  1.12521e-17  1.23930e-19      0
 49.5426  1.16798e-17  3.60694e-19      1
 49.5426  1.12296e-17  2.76397e-19      1
 49.6091  1.13665e-17  1.44419e-19      0
 49.6091  1.13335e-17  7.70542e-20      0
 49.6183  1.17332e-17  2.80268e-19      1
 49.6183  1.10357e-17  2.58002e-19      1
 49.6699  1.15260e-17  1.40220e-19      0
 49.6765  1.12434e-17  1.25309e-19      0
 49.6939  1.05178e-17  3.92031e-19      1
 49.6939  1.19999e-17  3.31236e-19      1
 49.7373  1.15860e-17  1.11707e-19      0
 49.7374  1.12520e-17  1.25470e-19      0
 49.7694  1.16704e-17  3.12958e-19      1
 49.7694  1.24354e-17  2.15481e-19      1
 49.8048  1.10748e-17  8.35847e-20      0
 49.8048  1.16508e-17  1.20537e-19      0
 49.8373  1.17717e-17  1.95048e-19      1
 49.8373  1.11560e-17  3.47352e-19      1
 49.8723  1.12356e-17  1.15938e-19      0
 49.8723  1.18601e-17  1.32426e-19      0
 49.9125  1.27345e-17  3.65510e-19      1
 49.9125  1.16677e-17  2.25582e-19      1
 49.9398  1.17373e-17  9.46411e-20      0
 49.9398  1.13938e-17  1.10655e-19      0
 49.9877  1.21652e-17  2.66903e-19      1
 49.9877  1.09266e-17  2.48696e-19      1
 50.0073  1.12022e-17  1.04302e-19      0
 50.0073  1.18649e-17  1.06594e-19      0
 50.0628  1.11086e-17  2.49493e-19      1
 50.0628  1.21403e-17  3.08286e-19      1
 50.0748  1.11094e-17  1.00771e-19      0
 50.0748  1.15401e-17  1.16022e-19      0
 50.1377  1.19033e-17  2.08611e-19      1
 50.1377  1.15116e-17  3.11967e-19      1
 50.1423  1.11233e-17  1.40851e-19      0
 50.1423  1.13786e-17  8.69563e-20      0
 50.2099  1.10314e-17  1.25389e-19      0
 50.2099  1.13899e-17  8.91416e-20      0
 50.2125  1.18115e-17  4.05629e-19      1
 50.2125  1.09680e-17  2.76330e-19      1
 50.2774  1.11654e-17  1.32564e-19      0
 50.2774  1.17047e-17  1.63918e-19      0
