#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#line = LWS line number (0-9)
#
#wave    flux         stdev           det   line
100.0537  9.99227e-19  2.53550e-20      5      3
117.2361  4.88602e-19  8.83089e-21      6      3
117.3757  4.83193e-19  4.68160e-21      6      3
117.5151  4.86377e-19  7.17977e-21      6      3
117.6544  4.88199e-19  5.67750e-21      6      3
117.7935  4.83226e-19  5.98661e-21      6      3
117.9325  4.83116e-19  4.97295e-21      6      3
118.0714  4.87208e-19  5.88629e-21      6      3
118.2101  4.83066e-19  6.04946e-21      6      3
118.3487  4.83998e-19  5.37365e-21      6      3
118.4872  4.73502e-19  6.65976e-21      6      3
118.6255  4.75274e-19  4.76626e-21      6      3
118.7638  4.62121e-19  5.30103e-21      6      3
118.9019  4.55774e-19  4.46741e-21      6      3
119.0399  4.57503e-19  4.31307e-21      6      3
119.1777  4.59888e-19  4.80942e-21      6      3
119.3155  4.60199e-19  5.50949e-21      6      3
119.4394  4.60850e-19  5.03210e-21      6      3
119.5769  4.65015e-19  5.49862e-21      6      3
119.7144  4.54185e-19  4.82599e-21      6      3
119.8517  4.55119e-19  7.54713e-21      6      3
136.9148  3.19986e-19  5.40319e-21      7      3
137.0522  3.15045e-19  3.63478e-21      7      3
137.1894  3.09752e-19  3.78768e-21      7      3
137.3264  3.14846e-19  3.30161e-21      7      3
137.4633  3.03603e-19  3.21677e-21      7      3
137.6001  3.04638e-19  3.45277e-21      7      3
137.7367  3.10387e-19  4.46336e-21      7      3
137.8732  3.09459e-19  3.56770e-21      7      3
138.0096  3.13162e-19  4.01456e-21      7      3
138.1458  3.02761e-19  3.87985e-21      7      3
138.2819  3.02003e-19  3.58668e-21      7      3
138.4178  2.99935e-19  3.42424e-21      7      3
138.5536  3.02600e-19  3.11238e-21      7      3
138.6893  3.05800e-19  3.17449e-21      7      3
138.8249  2.97910e-19  3.50469e-21      7      3
138.9603  3.00246e-19  3.36106e-21      7      3
139.0821  2.95519e-19  3.22109e-21      7      3
139.2173  2.97180e-19  3.56288e-21      7      3
139.3523  3.01176e-19  3.14656e-21      7      3
139.4873  2.93552e-19  6.47751e-21      7      3
